node_id,stadium_id,poste,class,volume_m3,weight_t
STAD_KC,KC,seat_covers,soft,3.8453,1.2106
STAD_KC,KC,building_wraps,soft,11.3934,7.7618
STAD_KC,KC,vehicle_wraps,soft,0.4985,0.356
STAD_KC,KC,led_perimeter,led,67.0,66.625
STAD_KC,KC,pitch_side,soft,0.6875,0.4375
STAD_KC,KC,wayfinding,soft,0.375,0.125
STAD_KC,KC,totems_alu,soft,8.75,3.5
STAD_KC,KC,masts,soft,3.75,1.5
STAD_KC,KC,fence_scrim,soft,14.75,2.6875
STAD_KC,KC,brand_scrub,soft,6.0444,3.1111
STAD_HOU,HOU,interior,soft,60.7773,30.9218
STAD_HOU,HOU,seat_covers,soft,3.5987,1.1329
STAD_HOU,HOU,building_wraps,soft,10.6627,7.264
STAD_HOU,HOU,vehicle_wraps,soft,0.4665,0.3332
STAD_HOU,HOU,led_perimeter,led,67.0,66.625
STAD_HOU,HOU,pitch_side,soft,0.6875,0.4375
STAD_HOU,HOU,wayfinding,soft,0.375,0.125
STAD_HOU,HOU,totems_alu,soft,8.75,3.5
STAD_HOU,HOU,masts,soft,3.75,1.5
STAD_HOU,HOU,fence_scrim,soft,14.75,2.6875
STAD_HOU,HOU,brand_scrub,soft,6.0444,3.1111
STAD_ATL,ATL,interior,soft,60.3523,30.7056
STAD_ATL,ATL,seat_covers,soft,3.5735,1.125
STAD_ATL,ATL,building_wraps,soft,10.5881,7.2132
STAD_ATL,ATL,vehicle_wraps,soft,0.4632,0.3309
STAD_ATL,ATL,led_perimeter,led,67.0,66.625
STAD_ATL,ATL,pitch_side,soft,0.6875,0.4375
STAD_ATL,ATL,wayfinding,soft,0.375,0.125
STAD_ATL,ATL,totems_alu,soft,8.75,3.5
STAD_ATL,ATL,masts,soft,3.75,1.5
STAD_ATL,ATL,fence_scrim,soft,14.75,2.6875
STAD_ATL,ATL,brand_scrub,soft,6.0444,3.1111
STAD_LA,LA,interior,soft,59.5023,30.2731
STAD_LA,LA,seat_covers,soft,3.5232,1.1091
STAD_LA,LA,building_wraps,soft,10.439,7.1116
STAD_LA,LA,vehicle_wraps,soft,0.4567,0.3262
STAD_LA,LA,led_perimeter,led,67.0,66.625
STAD_LA,LA,pitch_side,soft,0.6875,0.4375
STAD_LA,LA,wayfinding,soft,0.375,0.125
STAD_LA,LA,totems_alu,soft,8.75,3.5
STAD_LA,LA,masts,soft,3.75,1.5
STAD_LA,LA,fence_scrim,soft,14.75,2.6875
STAD_LA,LA,brand_scrub,soft,3.0222,1.5556
STAD_SF,SF,interior,soft,58.9923,30.0136
STAD_SF,SF,seat_covers,soft,3.493,1.0996
STAD_SF,SF,building_wraps,soft,10.3495,7.0506
STAD_SF,SF,vehicle_wraps,soft,0.4528,0.3234
STAD_SF,SF,led_perimeter,led,67.0,66.625
STAD_SF,SF,pitch_side,soft,0.6875,0.4375
STAD_SF,SF,wayfinding,soft,0.375,0.125
STAD_SF,SF,totems_alu,soft,8.75,3.5
STAD_SF,SF,masts,soft,3.75,1.5
STAD_SF,SF,fence_scrim,soft,14.75,2.6875
STAD_SF,SF,brand_scrub,soft,3.0222,1.5556
STAD_SEA,SEA,interior,soft,58.6523,29.8406
STAD_SEA,SEA,seat_covers,soft,3.4728,1.0933
STAD_SEA,SEA,building_wraps,soft,10.2899,7.01
STAD_SEA,SEA,vehicle_wraps,soft,0.4502,0.3216
STAD_SEA,SEA,led_perimeter,led,67.0,66.625
STAD_SEA,SEA,pitch_side,soft,0.6875,0.4375
STAD_SEA,SEA,wayfinding,soft,0.375,0.125
STAD_SEA,SEA,totems_alu,soft,8.75,3.5
STAD_SEA,SEA,masts,soft,3.75,1.5
STAD_SEA,SEA,fence_scrim,soft,14.75,2.6875
STAD_SEA,SEA,brand_scrub,soft,6.0444,3.1111
STAD_BOS,BOS,interior,soft,58.4822,29.7541
STAD_BOS,BOS,seat_covers,soft,3.4628,1.0901
STAD_BOS,BOS,building_wraps,soft,10.26,6.9897
STAD_BOS,BOS,vehicle_wraps,soft,0.4489,0.3206
STAD_BOS,BOS,led_perimeter,led,67.0,66.625
STAD_BOS,BOS,pitch_side,soft,0.6875,0.4375
STAD_BOS,BOS,wayfinding,soft,0.375,0.125
STAD_BOS,BOS,totems_alu,soft,8.75,3.5
STAD_BOS,BOS,masts,soft,3.75,1.5
STAD_BOS,BOS,fence_scrim,soft,14.75,2.6875
STAD_BOS,BOS,brand_scrub,soft,6.0444,3.1111
STAD_PHI,PHI,interior,soft,58.6523,29.8406
STAD_PHI,PHI,seat_covers,soft,3.4728,1.0933
STAD_PHI,PHI,building_wraps,soft,10.2899,7.01
STAD_PHI,PHI,vehicle_wraps,soft,0.4502,0.3216
STAD_PHI,PHI,led_perimeter,led,67.0,66.625
STAD_PHI,PHI,pitch_side,soft,0.6875,0.4375
STAD_PHI,PHI,wayfinding,soft,0.375,0.125
STAD_PHI,PHI,totems_alu,soft,8.75,3.5
STAD_PHI,PHI,masts,soft,3.75,1.5
STAD_PHI,PHI,fence_scrim,soft,14.75,2.6875
STAD_PHI,PHI,brand_scrub,soft,6.0444,3.1111
STAD_MIA,MIA,interior,soft,55.5071,28.2405
STAD_MIA,MIA,seat_covers,soft,3.2866,1.0347
STAD_MIA,MIA,building_wraps,soft,9.7381,6.6341
STAD_MIA,MIA,vehicle_wraps,soft,0.426,0.3043
STAD_MIA,MIA,led_perimeter,led,67.0,66.625
STAD_MIA,MIA,pitch_side,soft,0.6875,0.4375
STAD_MIA,MIA,wayfinding,soft,0.375,0.125
STAD_MIA,MIA,totems_alu,soft,8.75,3.5
STAD_MIA,MIA,masts,soft,3.75,1.5
STAD_MIA,MIA,fence_scrim,soft,14.75,2.6875
STAD_MIA,MIA,brand_scrub,soft,6.0444,3.1111
STAD_GDL,GDL,interior,soft,40.8016,20.7587
STAD_GDL,GDL,seat_covers,soft,2.4159,0.7606
STAD_GDL,GDL,building_wraps,soft,7.1582,4.8765
STAD_GDL,GDL,vehicle_wraps,soft,0.3132,0.2237
STAD_GDL,GDL,led_perimeter,led,67.0,66.625
STAD_GDL,GDL,pitch_side,soft,0.6875,0.4375
STAD_GDL,GDL,wayfinding,soft,0.375,0.125
STAD_GDL,GDL,totems_alu,soft,8.75,3.5
STAD_GDL,GDL,masts,soft,3.75,1.5
STAD_GDL,GDL,fence_scrim,soft,14.75,2.6875
STAD_GDL,GDL,brand_scrub,soft,2.1156,1.0889
STAD_MTY,MTY,interior,soft,45.4767,23.1373
STAD_MTY,MTY,seat_covers,soft,2.6927,0.8477
STAD_MTY,MTY,building_wraps,soft,7.9784,5.4353
STAD_MTY,MTY,vehicle_wraps,soft,0.3491,0.2493
STAD_MTY,MTY,led_perimeter,led,67.0,66.625
STAD_MTY,MTY,pitch_side,soft,0.6875,0.4375
STAD_MTY,MTY,wayfinding,soft,0.375,0.125
STAD_MTY,MTY,totems_alu,soft,8.75,3.5
STAD_MTY,MTY,masts,soft,3.75,1.5
STAD_MTY,MTY,fence_scrim,soft,14.75,2.6875
STAD_MTY,MTY,brand_scrub,soft,2.1156,1.0889
STAD_VAN,VAN,interior,soft,46.3268,23.5698
STAD_VAN,VAN,seat_covers,soft,2.743,0.8635
STAD_VAN,VAN,building_wraps,soft,8.1275,5.5369
STAD_VAN,VAN,vehicle_wraps,soft,0.3556,0.254
STAD_VAN,VAN,led_perimeter,led,67.0,66.625
STAD_VAN,VAN,pitch_side,soft,0.6875,0.4375
STAD_VAN,VAN,wayfinding,soft,0.375,0.125
STAD_VAN,VAN,totems_alu,soft,8.75,3.5
STAD_VAN,VAN,masts,soft,3.75,1.5
STAD_VAN,VAN,fence_scrim,soft,14.75,2.6875
STAD_VAN,VAN,brand_scrub,soft,2.1156,1.0889
STAD_TOR,TOR,interior,soft,37.6564,19.1585
STAD_TOR,TOR,seat_covers,soft,2.2297,0.7019
STAD_TOR,TOR,building_wraps,soft,6.6064,4.5006
STAD_TOR,TOR,vehicle_wraps,soft,0.289,0.2064
STAD_TOR,TOR,led_perimeter,led,67.0,66.625
STAD_TOR,TOR,pitch_side,soft,0.6875,0.4375
STAD_TOR,TOR,wayfinding,soft,0.375,0.125
STAD_TOR,TOR,totems_alu,soft,8.75,3.5
STAD_TOR,TOR,masts,soft,3.75,1.5
STAD_TOR,TOR,fence_scrim,soft,14.75,2.6875
STAD_TOR,TOR,brand_scrub,soft,2.1156,1.0889
